,資料類別,編號,content,Unit,修正後區域標記,修正後情緒標記,subject1,subject2,subject3,subject4,subject5,reCheckedEmotion,reCheckedsubject,freq
2785,2020部門,9663,我嫁來高雄，當然市長比我還早到高雄經營，我相信你來高雄的時候看到的和現在的確不一樣，市容不一樣、經濟狀況不一樣、很多的情形都不一樣，但是空氣也變不一樣了。以我剛嫁過來的情形，我覺得高雄市，以前是PM10很嚴重，後來大家說PM2.5傷害身體更嚴重，後來有一陣子變好了，我也不知道為什麼？但是陸陸續續這一陣子又變不好了，你可以看到一個城市出了問題，重工業的部分突然間變好，後來又變不好。我可以感受得到，現在高雄市被認為是一個每天都在紫爆的區域，其實全台灣都這樣認定了。你說它是一個海洋首都、說它是人權首都、說它是什麼樣的首都都好，但是我們不希望它是空污的首都。市長聽我講過很多環保的議題，我要重申中鋼、台電、台塑等有燃煤的部分都是很嚴重的污染，PM2.5紫爆是所有空氣污染很重要的來源。我們說非核家園，什麼時候高雄市也可以有非煤家園？現在台電機電組換成燃煤，拜託，如果你一定要追求綠能，至少你要用天然氣啊！用什麼煤氣呢？我們有沒有可能將我們的燃煤廠全部除役？然後讓高雄市真正有決心去做，不論你認為空污是從哪裡來的，我們要有動作，高雄市裡面從移動污染源到固定污染源，可以做的都去做，有一個宣示性的作用。市長，你敢說嗎？請回應。主席（康議長裕成）：請市長說明。陳市長菊：剛才提到中鋼、台電、中油等，他們這些燃煤大量污染的工廠，在冬季的時候高雄市政府規定、要求他們要減少三分之一的排放量。未來整個高雄地區，包括全台灣能不能有一個非煤的家園，所有這些生煤燃料廠都能夠除役，這是一個目標，高雄市作一個重工業的城市，這個目標我們一定要去努力，這個部分大家一起來努力。陳議員麗娜：謝謝市長，我期待在中央的高度可以支持高雄這樣做，也期待下一屆的市長可以繼續朝這個目標前進，如果大家要空氣好，燃煤一定是一個很重要污染源。,[],0,3,23, , , , ,1,23,149
517,2021市總,1803,比如說輕軌我們去測噪音，測噪音的目的是什麼？是希望輕軌做了以後要減少民眾的痛苦，比如說一些經過的路線讓民眾覺得每天都是吱吱聲和喇叭聲，那他怎麼會受得了，他當然就會不高興、會反對，可是如果我們在做大眾運輸工具的同時，你說要優化，優化的目的就是要把不好變好，把做不對的改正做得更好，所以不要去誤解，其實國民黨團從來沒有反對輕軌，我們是希望輕軌要做到好，做到民眾都可以接受，不要讓噪音影響到醫院和學校，都能夠讓人家安心上課、安心住在那個地方，這才是我們要做的事情，市長應該對這個不會有太多的誤解吧！現在已經決定要做了，所以很多優化的工作我們還是要持續，有些民眾的反映，我們要聽進去，然後把它變得更好，這才是為政者很重要的想法和觀念，等一下請市長回答。,[],0,2,5,23, , , ,0,5,334
2814,2020部門,9796,李議員柏毅：我本來沒有要問研考會，但是研考會劉主委，你剛剛跟童燕珍議員答詢時有提到你可能會北上。但是這三年來高雄市還沒有完成需要台北行政院甚至更強力的支援，來完成高雄市最遺憾、最沒有辦法達成的建設。劉主委，我請教你，未來四年內高雄市可能會需要這三個工作，是哪三個？主席（蘇議員炎城）：主委，請回答。研究發展考核委員會劉主任委員進興：一個很重要的事情是大林蒲的遷村，這是市長念念不忘的事情；另外一個是要完成整個捷運的路網。其實上次市長報告的時候不只三件，另外一件是亞洲新灣區，這關係到整個高雄百年的發展。還有一件是我們最近提出來的，賴院長在立法院備詢時，同意第二科學園區的建立，這對於高雄整個產業的發展非常重要。最後一個也很重要是鐵路地下化建立的廊帶，市長一直希望能夠趕快看見。李議員柏毅：謝謝主委，我表列了六樣你講了四樣，還有兩樣我沒有講到的，我在這邊再提醒你，因為未來台北中央的整個行政，當然他們一定會很重視高雄，但是對於高雄細部的、高雄真正需要的東西，劉主委，你在這邊三年應該非常清楚。你剛講到橋頭南部第二科學園區，它就是我們的命脈，我們沒有這個產業的話，高雄市怎樣發展都是非常遺憾的。第二個，你剛提到的黃線這是捷運的路網，還有大林蒲的遷村，從過去謝長廷院長的時代，從市長到院長，他完成了紅毛港的遷村。這一次高雄非常期待，可能完成非常多的工作，包括你剛剛提到的橋頭第二科學園區、捷運的路網和大林蒲遷村。其實我還列了中油，我也看到了中油的戴謙董事長說已經開始規劃整個中油公司遷到南部，是總公司真正的南移，而不是只有戶籍的南遷。另外，我還是要為我們的選區來爭取一條道路，對於高雄南北向的車子塞得非常嚴重的問題，我們需要一條濱海公路，以疏解民族路和高速公路的車潮，也就是新台17線，目前還跟國防部這邊有點卡關。第三個就是馬英九政府喊了八年，但是沒有看到影子的國道7號，也是對於高雄整個產業的銜接非常重要。希望有機會請劉主委一定要記得整個高雄的發展，尤其是這幾個建設。研究發展考核委員會劉主任委員進興：其實這幾個問題比較適合問市長。李議員柏毅：劉主委請坐，有機會我一定會問市長。,['高雄市政府研究發展考核委員會'],0,3,5,17,19, , ,1,5,334
659,2020新聞,2351,高雄市議會昨天總質詢火氣很大，針對議員黃文益質疑大順路工程品質及未做整體規劃，副市長李四川動怒，回嗆：「我從來沒看過高雄市有這樣的議員！」對此，工務局解釋工程是按照計畫，最晚今年八月會完成全部工程。民進黨議員黃文益昨質詢時指出，自立陸橋平面道於三月二十二日通車，現在還有縫隙，大順陸橋平面道四月八日通車，到現在一樣有縫隙，快慢車道有落差，他質疑市府的工程品質是這樣嗎？李四川回答說，他在大順陸橋通車典禮上說得很清楚，大順陸橋先讓慢車道通車，通車典禮後再讓快車道通車，同時封閉慢車道施工，每一步驟都按照計畫，目前還在進行旁邊排水改善工程。黃文益不滿地說，工程不應拖到現在還在施工，應該一次性整體規劃。李四川也回嗆說，我就是整體規劃，等排水溝完成後，一次鋪平，雙方開始唇槍舌劍。工務局：最晚8月全部完工對於拆除後的大順路，為何快慢車的路面出現約三十公分落差？工務局解釋是因為要先通車，後續還有人行道及側溝工程要進行，等完工後會一起填平，目前在快慢車道間以護欄隔開，全部工程預計最晚今年八月前完成。,['高雄市政府工務局'],0,1,0,28, , , ,0,0,333
2955,2020部門,10303,最後文化局講三件事情，岡山的眷村保存與活化，前兩天也是跟文化部還有立委一起來看過，過去我也一直批評高雄市政府從來不重視岡山的眷村，以前都只重視鳳山跟左營等兩區，建業還有黃埔新村，從來不重視岡山的空軍眷舍。所以我一直講，講到最後才看到文化局有動作，然後才開始跟文化部提計畫。所以在這邊我看到…。高議員閔琳：現在最新的進度是我們有幾間已經開始做維管了，可是我們還是要找一個重點，就是這些維管的錢那麼少，修一修已經沒有剩什麼錢可以做了。所以我們當天的會議結論是，希望可以針對樂群的眷舍，能夠優先做觀光的亮點來做活化，這第一點。,['高雄市政府文化局'],0,3,1, , , , ,1,1,91
1161,2020市總,4507,周議員有很多進步的觀念，還有很多對高雄市政府的期待。當然在整個行政組織來講，他在一個變動改革的過程，有些時候，速度我認為我們也不滿意，不過我會認為觀念是一直要突破，只要在法律上依法。有些時候我們現在的若干法律也很陳舊，有很多法律都三、四十年未曾修改等等，所以我會覺得我們認真、專業，還有尋求改革的公務人員，只要在這個部分，法律上的解釋，法制局可以協助，我是認為可以突破。那譬如說，我想周議員特別提到公園，如果今天有若干在高雄市政府的品牌，願意認養高雄市的公園公共使用的空間，那就我來講，我非常不贊成。譬如因為我曾經在新加坡，看到新加坡的動物園，那應該是復興航空公司它有一個軌道在動物園裡面，這個軌道是復興航空提供，他們全部都是用紫色，用紫色的這樣，他們很明顯一看，就知道這是一個復興航空公司。周議員玲奴：很漂亮啊！陳市長菊：我今天也希望我們的養工處趙處長，趙處長非常專業、年輕，我認為可以突破。這樣的一個突破，譬如像我們的城市光廊，我們也會認為都可以。如果說對於我們的未來高雄市各種的進步有關，那有很多民間的團體願意參與，這個團體有一些是有當然要推銷它的品牌，這個部分我覺得我們是應該好好的考慮，同時也應該要立即去做，至少我會覺得，大概如果說，他們對於他們品牌的行銷是要多大，至少我在當時看到，那是非常大，很大。周議員玲奴：很大啊！其實他們要來，就是很大。陳市長菊：當然要大，那當然跟美感也要有關係，不能說毫無美感，這樣我們也不會同意，所以這個部分是應該要討論。那當然周議員提了很多很多對於高雄市未來的突破，我們相關的局處也很簡短，他們也會來跟周議員等一下答覆。,"['高雄市政府工務局養護工程處', '高雄市政府法制局']",0,3,0, , , , ,1,0,333
709,2020新聞,2617,駐日處：絕無外傳「順便來吃」情形由立法院長蘇嘉全率領的國會訪日團，前日接受日本關東僑團於東京威士汀飯店設宴款待，傳出有非訪團成員的立委攜家帶眷出席，引發爭議。駐日代表處昨澄清，立委都是正式受邀才會出席，絕無外傳「順便來吃」的情形。趙天麟：是受邀參加民進黨立委趙天麟也強調，他因帶家人赴日，故全程自費，僑宴是受邀參加，且行前已確認，沒有「臨時」或「順便」出席的情形。訪日團成員、立委姚文智說，「這是一場誤會」，趙的家人是自費，而且也在中華聯合總會邀宴名單內，「沒有任何問題」。晚宴成員都是獲正式邀請，說立委家屬來白吃的，「實在太失禮了」。外交部：有建議僑團邀請出席僑委會表示，僑界聯合宴請國內訪問團，共敘鄉誼，為行之有年的慣例。外交部也表示，確實有建議主辦單位邀請趙天麟參與僑宴，加強立委與僑團的聯繫與互動。蘇嘉全率朝野立委訪日，包括民、國、親及時力四黨團總召與立委等共廿一人。其中公費名額為十四名，其他如民進黨立委徐國勇、姚文智與莊瑞雄等均自費前往。但由於現正值立院休會與暑假，除訪問團正式成員外，尚有部分立委及新北、高雄市議員自費赴日，一同參與公開拜會行程。趙天麟說，他因攜帶家人並有個人行程，故不參加立院公費團，而參與全程自費的高雄團。他行前即與駐處再三確認出席名單，沒有「臨時」或「順便」參加的情形。據了解，此次僑宴名單，在七月中旬就已洽詢相關單位，並非臨時參加。駐日代表處並發表聲明指出，包括立委、議員或眷屬等，均在主辦僑團邀請名單內，都是正式受邀出席，絕無所謂「不是訪團成員，只是恰好來日本，所以順便來吃」。立委強調私人行程、家屬都是自費主辦單位代表、日本中華聯合總會會長毛友次表示，關東僑團獲悉國會等國內訪團消息後，即表示願意聯合舉辦餐會歡迎，以盡地主之誼。此外，許多立委此次自費安排配偶、家人隨行，或待公務行程結束後，自行規劃私人行程，也引發議論。包括蘇嘉全將自行前往北海道，立院副院長蔡其昌、立委柯建銘、趙天麟、邱志偉等，都有家屬或助理隨行。相關立委昨均強調，私人行程、隨行人員等都是自費，並無公私不分。蔡其昌強調，家人的行程與立院毫無關係，都是自己訂房、訂機位，也沒出席任何活動。邱志偉表示，他太太利用暑期返回日本娘家探親，且在訪日團停留東京期間，自願擔任「翻譯志工」，全力協助台灣擴展國會外交。,[],4,3,15, , , , ,1,15,39
1771,2020市總,5837,剛才問到一半，關於青年就業問題，講到這些職缺，高雄市社會局藉由勞務採購的方式，顯示我們市政府社會局已經造成不安定就業和低薪的所得帶動者，這個我們上次有講到，社會局長在小組有回答過，剛才因為時間的問題，因為你的回答，所以有人到我的服務處來檢舉說，在你們局本部裡面有人故意不工作，等到要加班的時間才開始做這些工作，其實他的底薪本來就已經有三萬多元，如果他又加薪，變成四萬多元，故意把工作延宕。剛剛局長說社會局有很多不穩定狀態，所以你們和各局處比較起來，你們加班的時數是很容易加的，這個部分請社會局長回答，為什麼會造成這樣的狀況？會後去查到底現在是不是你們社會局有這樣的氛圍？所以才會產生八千多個時數的加班數據，社會局長回答。主席（蔡副議長昌達）：請局長答復。社會局姚局長雨靜：社會局的加班狀況的確是很高，這個我們也是不樂見的，但是我們所有相關的規定，都是按照行政院人事行政總處加班及加班費支給要點的方式來運作，依照加班費或者是補休的方式。我剛才特別問人事室主任，有沒有同仁可以另外在加班費多了一萬多元，就我們內部的資料來看是沒有這樣子的數據，但是你說社會局的同仁會白天不上班只為了等加班費，所以下班之後才來報加班費，這個狀況，就我們平常實務面來看，這個和我的理解落差滿大的。但是如果議員手上有很明確的證據，哪一個同仁有這樣子的狀況，我們當然可以直接來查，但是我們絕大多數的同仁，誰不希望早點下班回去和家人相聚，如果那個案例有很明確的資料，我們一定會嚴正調查，我們目前的狀況，業務真的是增加到我們加班都是不得已的。李議員眉蓁：謝謝局長，我們不能否認社會局同仁的辛苦，尤其在這個局處，上次就是你回答，有民眾看到電視，然後來我的服務處檢舉，所以這個部分他指定是局本部的人。社會局姚局長雨靜：沒關係，資料給我們，我們可以回去查。李議員眉蓁：局本部的人上班隨便做做，不去勘查，等到加班時間，因為必須要加班就可以加薪，這個部分可能是我們社會局要檢討，希望局長去查一下這個事情。,['高雄市政府社會局'],0,3,10, , , , ,1,10,135
738,2020新聞,2809,高雄鐵路地下化後可釋出七十一公頃鐵軌、鐵路設施的園道土地，外傳可能闢為公車專用道，立委李昆澤昨邀交通部、市府開說明會，強調不會當作公車專用道，他要求無縫接軌進行，打造世界級的綠色廊帶、自行車道及水廊系統，並成為富生命力的都市軸線。高雄鐵路地下化預定於一○六年底完工，完工後釋出的土地利用是市民關心的議題，李昆澤昨邀集交通部次長范植谷、鐵路改建工程局長胡湘麟、台灣鐵路管理局長周永暉、高市府秘書長楊明州等開規劃說明會。規劃綠廊、水廊、自行車道高雄鐵路地下化完工後沿線十五．三七公里將釋出七十七．二九公頃的園道土地，市府預定規劃綠色廊帶、自行車道及水廊系統，串聯沿線周遭洲仔濕地公園、蓮池潭、中都濕地公園等沿線廿四個綠地系統。另設置寬度二．五公尺以上的專用自行車道，與現有自行車路網串聯；水廊系統從蓮池潭規劃到愛河，引曹公新圳水系活水，並串聯內惟埤濕地及活化鼓山運河。李昆澤要求台鐵局與市府積極研商廊帶土地取得、使用等問題，建議由台鐵局提供土地，園道設計由市府規劃、施工及管理維護。他也請市府與地方溝通，舉辦說明會，讓居民參與未來高雄城市風貌的形塑。范植谷肯定市府所做的世界級廊帶規劃，未來會透過與市府間的溝通平台，積極研商後續相關規劃細節。楊明州表示，未來鐵路軌道轉變為綠色廊道、自行車道及水廊系統，有關沿線部分房屋門面整建等，都發局正進行規劃評估，盼透過完整都市更新的通盤考量，引進更多商機。,['高雄市政府都市發展局'],0,3,5,5, , , ,1,5,334
1481,2020市總,5182,我想還沒有談這個地區之前，先談楠梓區公所前面的楠梓新路，楠梓新路有三大議題請市長要求相關單位來處理。第一個，楠梓新路153號在數十年前蓋了一棟房屋有留一條通道，這條通道現在不認定為巷道，但是至少是通道，因為是法定空地，有做防火間隔、防火空間及後面通道和水溝。99年在市民有約就陳情市長，100年會勘時不理想造成現在還有爭議，當然私人的私權一定要保障，但是大眾通行的公益也不能忽視，公跟私之間一定要好好的處理。民眾陳情後，市政府有去會勘，但是我個人覺得會勘有可能通知的單位跟人員不夠周全，雖然有結論但是地主反彈，我們尊重地主為了自己的權益提出訴願，市政府不幸兩次敗訴，敗訴後請工務局退回重新研議，因為100年8月的決議是有侵犯私權的，但是地主突然圍起道路影響通行，造成百姓陳情抗議，法制局訴願委員會的決議是供特定對象通行，但是所有的鄉親都反彈只供特定對象通行。所以我在此建議市長為了公私之間有更公平、更好更適當的處理，應該重新把所有人找來，請相關單位辦一場大會勘，認定通道是不是供特定對象通行或是還有其他非特定對象，這才能解決這個問題，請工務局答覆主席（許議長崑源）：局長，請答覆。工務局鐘代理局長萬順：可以辦理會勘。周議員鍾?：辦理會勘邀集相關單位包括地主，因為我們尊重地主的私權有使用權，但是他一定要符合所有行政規定包括建管法規，所以我在此誠摯的建議、善意的建議，邀集相關單位包括地主、建管處、養工處，相關的里長、區公所經建課等，跟當地百姓來認定是否供特定對象通行，還是有包括非特定對象的人士通行，這才能解決這個問題，不然這個問題永遠在爭執，實在是很麻煩。局長，你什麼時候要邀集相關單位？工務局鐘代理局長萬順：我們會後就辦理。周議員鍾?：就一個禮拜左右。〔好。〕謝謝局長。第二個問題、楠梓新路243巷，也就是我等一下要講的其他建議事項的第一項，楠梓新路243巷的四米計畫巷道一定要早日開闢，請市政府安排會勘。第三個問題是261巷因楠梓新路區公所前面道路鋪設柏油，但是施作完工後柏油鋪設路面較高與水利局原有側溝交界有落差，造成路面高程不平的問題，所以要請水利局至現場會勘，我等一下一併建議。,"['高雄市楠梓區公所', '高雄市政府工務局', '高雄市政府工務局養護工程處', '高雄市政府法制局', '高雄市政府水利局']",0,3,0, , , , ,1,0,333
1585,2020市總,5418,李喬如是中山大學的碩士，有修學分的，李喬如的問政服務絕不可以讓全國的「中山人」、教授和學長、學弟們漏氣！市長也是「中山人」。所以接著李喬如要在第四年最後的總質詢中向人民報告，我在這幾年來為高雄市旗鼓鹽市民們做了多少的貢獻和建樹。大家看到這張照片的左邊，這是市長在李喬如競選總部的成立大會中，公開承認大公陸橋拆除還權於民之後的現況，解除了鼓山區、鹽埕區通行人的壓迫感；這裡是台鐵臨港西線，李喬如爭取、市長同意、都發局規劃設置的人行車道和人行步道的綠廊，非常的美麗。大公陸橋拆除後，當時李喬如在市長任內在議事廳的總質詢時，請求陳菊市長：大公陸橋、公園陸橋、青海橋應該除役。因為這三座橋在國民黨施政時代，是一個不合法的橋道，現在為了鐵道，所以架設在那裡以利行車人員的通行。但是，在陳菊市長主政、李喬如議員任內建議，市長也體恤民意並還民公道，將公園陸橋和大公陸橋拆除了。在拆除後，謝謝市長，市政府團隊把這裡建設得非常漂亮，而都發局這裡規劃建設的，和駁二的人行步道、駁二藝術館以及鐵道文物館的綠廊就在我的左方；還有喬如所提出的，整合在這個地帶，也不禁的要讚嘆高雄市市長是多麼的有魄力！李喬如爭取的建設是對的，並對歷史做了交代。,['高雄市政府都市發展局'],0,5,17,0, , , ,2,17,188
257,2021市總,902,再來就是R18油廠站的機車停車位問題，本席在部門質詢有說過一次，交通局給我的資料，好像是股長打電話到我的服務處，他跟我說了之後，我不知道要怎麼回答。你看停車的狀況是這樣，本席建議的是圍牆外這塊地，在剛才停車的對面，剛才我講的是對面這裡，很多車都停在這裡，這裡可以設置機車停車格，這樣才不會讓那些機車沒有地方可停車。我在部門質詢時，建議左楠路與後昌路西南側宏南宿舍圍牆外增設機車停車位，但是交通局的回復是答非所問，他打電話跟我說，經向停車工程科反映，此處增設並無益處，他還沒有設計就跟我說增設並無益處，他真的很厲害，還沒有會勘也沒有做其他評估，就來電回復說增設並無益處，還說如果我要會勘，叫我要發文去交通局，這到底是什麼情形？局長請答復。主席（陸副議長淑美）：請交通局長答復。交通局鄭局長永祥：謝謝陳議員對於捷運站外面停車的問題關心，如果議員有會勘的需求，我們也覺得事實上有必要，我們就應該來辦理會勘。基層同仁對於口語表達上太過直接，後續的教育訓練，我們再來強化。如果有公文，後續一些行政處理上，比較可以讓議員有所追蹤，我們會要求基層同仁在表達上應該要更妥適一點。陳議員善慧：同樣都是部門質詢的東西，例如號誌部分，他過沒多久就打電話說，本席質詢的那個地方要去會勘。這個竟然還沒會勘就跟我說增設並無益處，還跟我說如果我要會勘，叫我自己行文給交通局，這樣算是兩樣情，一樣是交通局，裡面的人員兩極化。包括公車處也是很好，主委說要增設公車亭，主委會勘後，他們要怎麼做會跟里長、市民解釋，如此對市府的形象更好。還好這是跟本席說，若是跟市民說，你看他們會怎麼想。局長，內部的人應該要多注意一下，包括水利局內部、經發局內部、各局處該要注意的人要注意一下，不要一個好好的團隊就這樣被搞壞了，這是本席的建議。針對這個問題，局長，你處理一下，儘速看是要會勘還是如何。,"['高雄市政府交通局', '高雄市公共汽車管理處', '高雄市政府水利局', '高雄市政府經濟發展局']",0,3,5, , , , ,1,5,334
2115,2020部門,6793,接下來請教高雄銀行董事長，對於本席和很多議員所關心的問題，有關你們總經理要外求人才，是不是可以考量用內升的方式，提高高雄銀行所有員工的精神和工作的能量。主席（郭議員建盟）：請蔡董事長答覆。高雄銀行蔡董事長憲宗：關於高雄銀行原任總經理屆齡退休案，因為要聘任新的總經理，上個星期四董事會有討論這個案子，董事會並不是不贊成，是說請新任的總經理來向大家報告，如果他有機會上任的話，他的工作抱負是什麼？這個案子董事會短期內會再來討論，在董事會決議之前，為了避免影響公司治理的形象，是不是容我會後再向童議員詳細報告？這個案子上午李局長也有向連議員做過報告了。〔…。〕是。,['高雄銀行'],0,3,10, , , , ,1,10,135
140,2021市總,516,陳議員麗珍：好。再來是左營、楠梓，左營區蓮池潭也是高雄市的門面，從高鐵一下車就會看到左營蓮池潭，最近結合左營旁邊的鐵路地下化以後，整個公園園區結合起來，蓮池潭算是整個高雄市觀光最好發展的一個產業，也是最漂亮的。蓮池潭可以結合眷村、廟宇、古蹟，全部把它結合起來，還有旁邊的半屏山。所以在這裡我也跟市長建議，蓮池潭有這麼好的資源條件，我們應該要好好的把它推動出來做個觀光產業，比如說我們可以把它增加一些美食街，或是蓮池潭晚上的夜間照明燈這麼暗，等於說晚上有這麼漂亮美景的蓮池潭沒有辦法去那邊遊玩。所以第一、我們能夠先改善的是，夜間照明先把它做改善，未來市政府可以有一個跨局處的小組，怎麼樣來針對蓮池潭這麼好資源的觀光產業？現在很多人都進來高雄市，對我們的經濟都有幫助的。還有孔廟，孔廟那邊我也希望文化局去看一看，目前的攤位真的跟孔廟的一個歷史建築文物博物館完全是不搭的，我因為時間的關係，改天我們再找個時間來會勘，所以在蓮池潭部分，這是我每次都會講到的，市長也可以重視一下。,['高雄市政府文化局'],0,3,26, , , , ,1,26,127
3,2021市總,15,韓市長國瑜：謝謝郭議員建盟，聽君一席質詢勝讀三年書，這是我所聽過最好的質詢之一，真的是有用心，我們所有的團隊都感覺收穫很大，而且對高雄市真的會有好的，實在是了不起的一場質詢，只是說聽完以後唯一的缺點，心頭壓力很大，好像每一件事情都讓我們覺得心中有千斤萬擔，可是要解決它。我想第一個，營養午餐。我已經交代，我會用突襲式的，我本人去吃，而儘可能在11點半到11點40分，萬一食物中毒就讓我市長中毒就好，我已經交代，而且不可以通知，突襲式的，這代表我們市政府完全重視我們高雄市孩子吃的營養、吃的安全，我已經交代，好不好？我一定會去做，因為我也非常重視。,[],0,4,22, , , , ,2,16,129
1562,2020市總,5366,接著這個部分是比較頭痛的，在鐵路地下化之後，當然我們是希望打通東西向，但是在曾子路這裡是不通的。我剛才就是要問局長，將來在地下化之後，地上就是平面的，曾子路有可能通到翠華路嗎？請教工務局，可能從曾子路打通過去嗎？因為交通局講的是全面地下化，不會在路面了，曾子路有可能打通到翠華路嗎？可能嗎？請工務局答覆。主席（許議長崑源）：請答覆。工務局鐘代理局長萬順：這要看都市計畫裡面曾子路有沒有銜接到翠華路，要看道路的用地。陳議員玫娟：好，這是我提出來的願景，你們研議看看有沒有什麼窒礙難行的地方，這個地方可不可能就這樣過去。因為目前東西向就是完全靠崇德路和華榮路兩條路，包括大中陸橋，有時候上大中陸橋很容易塞車，這個案子希望你回去研議，如果我順利連任的話，我還會再跟你就教這個問題。,"['高雄市政府工務局', '高雄市政府交通局']",0,3,0, , , , ,1,0,333
2632,2020部門,8927,第二個問題就是，這次很多學校都來求助我們，學校裡面的樹很多都是百年老樹或是好幾十年的樹。樹倒了，學校的學生包括老師都沒有那個力氣，要他們整理那個大環境實在是有難度。所以在這邊建議市長，上個會期好像在教育部門質詢跟局長建議過，是不是應該在學校這個部分，教育回歸教育，讓學校專業的教學、安心的來受教。譬如說大榕樹是不是要有一筆專用的經費來好好的修繕，因為有時候學校說根本都不足、不夠。所以他們沒有辦法就來找我們幫忙尋找資源。這次颱風又倒了那麼多的樹，很多的大榕樹、大樹都倒了，學生怎麼清除這個環境，養工處說那是教育局的範圍他們不方便做，教育局說我們也沒有這麼多經費，所以就凸顯出來公部門是不是應該要擔起這樣的一個責任，該誰負責就誰負責，如果沒辦法是不是部門也應該要來協助一下，畢竟這都是高雄市民。市長，是不是請你關注一下這個議題，學校的部分成立一個專案的經費，專款來給學校未來為了整個環境修復，颱風來之前整個環境的整理，能夠讓學校不要為了經費的負擔求助無門。不然風災來的時候倒了那麼多的樹，讓這些學生、老師都苦不堪言。我想這個部分，市長是不是要有一個配套出來，市長，你覺得呢？主席（康議長裕成）：請市長回答。陳市長菊：這一次的颱風是強烈颱風，風力之大是我剛剛強調41年來在賽洛瑪颱風之後最大的，高雄市碰到這麼大的颱風，這41年來第二次。所以這並不是經常性，教育局對每一個學校都有開口契約的廠商，這一次我跟范局長到很多學校去巡視，有很多的校長在這個部分尋求軍方、學校的志工等等，還有很多老師都一起協助。我覺得教育局開口契約的廠商，或者軍方國軍弟兄的協助等等，這個是高雄市所有災害災後重建之中很重要的一部分。將來每一次颱風來臨之前，我們都要求教育局、學校有那些老樹必須要檢修。過去我們的檢修也有若干的團體反對說我們把樹剪的好像很醜又不好看。我會希望將來所有的養工單位或學校在這個部分如果有人批評我們就來說明，沒有什麼比安全更重要。當然陳議員非常的關心，將來我們也希望整個教育單位，護樹、保護老樹或者因為颱風的準備等等，教育局范局長如果提出應該用什麼樣的方式跟校長溝通，怎麼樣做最有效的防備，我們都願意配合。陳議員玫娟：我現在重點在於說，不是常態性的一個經費，是一個急難時間性的救助金，就是一個補助金之類的，我是希望朝這樣的方向。這一次的颱風有2個國小、1個國中來拜託我說，已經都跟軍方協調好了，後來又說不去了。就是說全部委託教育局來處理，結果教育局還要申請還要排還要很多時間，已經面臨開學，學生家長一直抱怨，所以這一點請教育局這邊多多的幫忙，市長這邊也應該好好支持這個經費。,"['高雄市政府教育局', '高雄市政府工務局養護工程處']",0,2,16, , , , ,0,16,129
1709,2020市總,5688,"另外，談一下最近我在基層服務的感想，尤其田寮真的很可憐，年輕人都外出打拚，留在田寮的都是年長者，不只是田寮附近，阿蓮也大多只剩年長者，都七、八十歲、六十五歲以上的人。但是田寮是一個比較特殊的地方，就只有一間衛生所，沒有藥局、沒有醫院，不要求大間的醫院，但連診所都沒有，就只有一間田寮衛生所。所以有一些老人要看病，大部分都在衛生所拿慢性病的藥，但是如果有比較重的病，像是大醫院開過刀，在那邊有病例必須要來義大、長庚、高醫、榮總等等，要坐車真的很不方便，除非要給年輕人載，不然如果去坐車，有些人可能連公車都不會坐，或是公車還要一直轉車，從岡山轉到義大…等，不是只有田寮而已，在鄉下有很多鄉鎮都是這樣，包括阿蓮、路竹、茄萣、燕巢等其他區都是相同狀況。所以我覺得市府如果可以規劃兩、三區，像是田寮跟阿蓮規劃一個免費的醫療接駁車，一天固定幾個時間及定點，例如固定在田寮幾個地方載到阿蓮，再接幾個乘客，然後載到義大、長庚、高醫這三個人比較多的地方，如果是路竹、湖內、茄萣的也規劃一台車，這樣可以減輕這些老人要看病的煩惱，如果老人還要擔心隔天要去哪裡檢查、拿藥，可能一整晚都睡不著。要是可以做到這樣，也算是政府的美德一件，當然這還需要一條經費，但我希望市政府、衛生局及有關單位可以想辦法解決，最起碼偏遠的地方，如田寮、阿蓮來規劃一部車，一部車一年可能不用編多少經費，應該這種車現在都有人在贊助、捐贈，如果有人捐贈就請個司機、花點錢保養，應該可以提高這些住在偏僻地區老人的就醫便利性，不要讓他們為了要坐車，還要拜託在外打拚的年輕人，讓年輕人也擔心長輩住在鄉下就醫的問題。如果能這麼做是很好的美德，看有沒有辦法針對這方面規劃一下，不要只有田寮、阿蓮，高雄比較偏僻的區域都應考量。台北市據我所知，統計起來62個人就有一個醫生，但是田寮7,000多人只有一個醫生，我覺得真的很不公平，所以像田寮、阿蓮這些比較偏僻的區域，能不能編一條經費做我剛剛所提的工作，請衛生局長或是什麼單位來回復一下。主席（康議長裕成）：請衛生局長說明。衛生局何局長啟功：如果是交通的問題，我們再跟交通局一起來了解，討論要如何來改進。另外衛生所的部分如果醫生不夠，看能不能與其他醫院合作，儘量巡迴醫療再加強一點。張議員文瑞：抱歉，局長我的意思是…。衛生局何局長啟功：所以主要是交通的問題嘛。〔…。〕我再跟交通局長一起來了解。","['高雄市政府衛生局', '高雄市政府交通局']",0,3,22, , , , ,1,22,108
